Brand,Model,1-Core Pts,2-Core Pts,4-Core Pts,8-Core Pts,64-Core Pts,Samples,Age (months),Current Price (USD),Seller
AMD,Phenom II X2 545,50.9,96.7,98.5,100,100,1000,96,,
AMD,A6-5400K APU,59,97.1,99.2,100,99.9,7500,98,,
AMD,Athlon II X2 250 (2013 D.Ri),51.1,96.5,98,99.4,99.8,19000,100,,
AMD,Athlon II X2 B24,50.3,94.8,96.4,97.8,98.1,1900,97,,
AMD,Athlon II X2 245,49.6,93.5,96,96.9,96.9,6000,100,,
AMD,Phenom II N660,48.3,94,94.6,96.1,96.2,379,95,,
AMD,Athlon 64 X2 Dual Core 6000 ,48.7,93.5,94.7,95.8,95.9,5300,97,,
AMD,Athlon II X2 240,47.9,91.1,92.2,94.1,94.5,5600,98,,
AMD,A4-5300 APU,55.2,90.5,92.4,94.7,94.3,6700,99,,
AMD,Athlon 7850,46.7,89,91.2,93.1,93.5,512,99,,
AMD,Athlon X2 240,46.6,88.7,89.7,91.9,93.2,285,96,,
AMD,Athlon II X2 220,47.7,89.3,91.6,93,93.2,4900,98,,
AMD,A4-5000 APU,24.2,48.6,88.3,91.5,92.5,9600,98,,
AMD,A8-4555M APU,31.1,54.4,89.4,91.7,92.3,2100,99,,
AMD,A4-3400 APU,46.1,86.9,89.8,91.1,90.7,2600,97,,
AMD,A9-9400 APU (2016 M.SR),52,87.3,89.6,92.7,90.6,1700,66,,
AMD,Athlon II X2 215,45.6,86.3,87.2,88.7,89.7,4300,100,,
AMD,Athlon 64 X2 Dual Core 5600 ,45.4,86.2,88.1,89.8,89.7,3300,101,,
AMD,Athlon 64 X2 Dual Core 5400 ,44.4,84,85.7,88,88.2,931,99,,
AMD,Athlon 7750,44,83.9,85.4,86.3,86.8,2200,99,,
AMD,A4-4000 APU,49.9,83.1,85,86.8,86.2,5700,96,,
AMD,A4-3300 APU,43.2,81.1,83,84.8,84.5,2400,98,85,Amazon
AMD,A6-9220 APU (2016 M.SR),48.2,81,83.7,85.6,84.3,4700,58,,
AMD,Athlon 64 X2 Dual Core 5200 ,42.8,80.1,81.2,82.9,83.4,5100,100,,
AMD,A6-9210 APU (2016 M.SR),45.8,78.2,80.8,83.1,82.2,964,66,,
AMD,Athlon 64 X2 Dual Core 5000 ,42,79.3,80.2,81.3,81.7,5400,100,,
AMD,Athlon Dual Core 4850e,40.9,77.1,78.5,80.2,80.7,595,99,,
AMD,Turion II Ultra Mobile M600,40.5,76.9,78.1,79.4,79,244,98,,
AMD,Athlon 64 X2 Dual Core 4800 ,40.4,75.5,76.6,78,78.4,1900,100,,
AMD,Athlon II P360,39,74.4,75.6,77.1,77.5,1400,99,,
AMD,A4-9120 APU (2016 M.SR),41.3,70.9,73,74.9,75.9,1500,57,,
AMD,Athlon X2 Dual Core BE-2400,36.9,68.4,71.5,73.3,74.5,63,95,,
AMD,Athlon 64 X2 Dual Core 4600 ,38,70.9,72.2,73.9,74.5,2100,96,,
AMD,A6-4400M APU,46.8,71.3,73,74.2,73.3,5700,100,,
AMD,Athlon II P340,36.8,70.1,72.1,73,73.2,2400,101,,
AMD,Athlon 64 X2 Dual Core 4400 ,37.1,69.7,71.3,72.4,72.9,2800,100,,
AMD,Turion II Mobile M500,36.5,68.4,70.3,71.8,72.5,584,99,,
AMD,A6-9200 APU (2016 M.SR),42.1,70.5,71.8,73.6,72.4,1000,61,,
AMD,Athlon Dual Core 4450B,36.2,67.3,69.3,71,72.2,518,99,,
AMD,Athlon Dual Core 4450e,36.4,67,69.8,71.3,71.9,495,95,,
AMD,Athlon II P320,35.6,67.7,69.4,70.3,70.5,3600,100,20,Amazon
AMD,Turion II Neo N54L,35.3,68.8,69.9,71.8,70.4,182,96,,
AMD,Athlon II M320,35.7,66.7,67.8,69.3,70,906,98,,
AMD,Athlon 64 X2 Dual Core 4200 ,35.9,67,68.4,69.1,69.8,3800,101,,
AMD,A4-3330MX APU,37.6,71.2,72.1,72.1,69.1,1200,96,57,Amazon
AMD,E2-9010 APU (2016 M.SR),37.5,64.3,66.8,69.1,68.9,253,67,,
AMD,A4-4300M APU,42.2,65.3,66.5,67.7,67.4,2100,100,,
AMD,A4-3305M APU,35.8,64.9,66.2,67.3,67.3,1400,97,,
AMD,Athlon II M300,33.9,63.5,64.9,66,66,1200,97,,
AMD,Athlon 64 X2 Dual Core 4000 ,33.6,62.6,64.1,65.1,65.6,2600,100,,
AMD,A4-3300M APU,33.7,62.6,63.8,65,65.3,1900,93,85,Amazon
AMD,Turion X2 Ultra Mobile ZM-82,31.7,61.5,62.6,63.5,64.2,220,100,,
AMD,Athlon X2 Dual-Core QL-65,31.8,60.2,61.8,63.2,63.9,508,98,,
AMD,A6-7000 APU (2014 M.Ka),35.8,60.2,61.7,62.6,63.1,236,84,,
AMD,Turion 64 X2 Mobile Technology TL-60,31.5,59.3,60.7,61.7,62.4,1000,100,,
AMD,E2-9000 APU (2016 M.SR),35.4,59.9,61.6,63.3,62.3,1500,61,,
AMD,Athlon X2 Dual Core BE-2300,30.5,59.4,60,60.4,61.8,40,93,,
AMD,Athlon 64 X2 Dual Core 3800 ,32.4,58.9,60.2,61.2,61.5,2500,100,,
AMD,Turion X2 Dual-Core Mobile RM-70,29.8,57.9,58.8,60.3,60.7,485,101,,
AMD,Athlon 64 X2 Dual Core 3600 ,30.6,56.6,58.1,59.4,60.7,753,98,,
AMD,E2-3000M APU,31.2,57.8,59.4,60.9,60.3,998,97,,
AMD,Athlon X2 Dual-Core QL-64,30.7,57.5,58.5,59.7,60,410,99,,
AMD,Turion 64 X2 Mobile Technology TL-58,30.1,56.7,58.2,58.9,59.9,519,100,,
AMD,AthlonX2 DualCore QL-60,28.8,53.7,57.1,56.7,58.9,21,97,,
AMD,Athlon 64 X2 Dual Core TK-55,28.7,53.4,54.3,55.3,55.6,310,100,,
AMD,Turion 64 X2 Mobile Technology TL-56,28.1,53.2,54.3,55,55.2,377,100,,
AMD,A6-4455M APU,33.1,51.5,53.1,54.2,53.7,1500,97,,
AMD,Athlon 64 X2 Dual Core TK-53,26.8,49.9,50.9,52.2,53.4,138,95,,
AMD,E2-9000e APU (2016 M.SR),29.7,49.3,50.4,51.5,50.8,3300,57,,
AMD,A4-4355M APU,31,48.9,49.8,51.1,50.7,408,94,,
AMD,Turion 64 X2 Mobile Technology TL-52,24.8,45.5,46.9,48,48.5,190,100,,
AMD,Turion II Neo N40L,24.6,46,48.1,48.8,48.1,157,101,,
AMD,Athlon Neo X2 Dual Core L335,24.2,43.6,46.3,47.6,47.8,169,99,,
AMD,Sempron 145,41.5,41.8,43.6,43.9,44.2,3500,97,,
AMD,E2-2000 APU (2012 M.Za),22.3,40.7,42.8,43.9,43.3,894,94,,
AMD,Sempron 140,40.1,40.8,41.9,42.5,42.5,2400,99,,
